metric.code,period,region,mean,se,n,n_missed,n_prior,prop_missed,prop_prior
SD + skew,second,Europe,30.1666666666667,2.25467050689235,9,3,5,0.333333333333333,0.555555555555556
SD + skew,second,N.America,-1.33333333333333,3.74660340001941,3,0,1,0,0.333333333333333
SD + skew,second,Other,23.5,18.7383297014435,2,0,1,0,0.5
SD + skew,second,S.America,-4.75,1.70782512765993,5,1,1,0.2,0.2
SD + skew,third,Asia,-6.5,3.18198051533946,2,0,0,0,0
SD + skew,third,Europe,-8.5,1.06066017177982,2,0,0,0,0
SD + skew,third,N.America,-6,NA,2,1,0,0.5,0
SD + skew,third,Other,0,4.94974746830583,2,0,1,0,0.5
skew,first,Asia,-19.3333333333333,4.96521231503078,5,2,0,0.4,0
skew,first,Europe,36.5,2.27845518382332,9,7,2,0.777777777777778,0.222222222222222
skew,first,N.America,-17,NA,3,2,0,0.666666666666667,0
skew,first,Other,-9,NA,2,1,0,0.5,0
skew,first,S.America,2.5,3.81837661840736,5,3,1,0.6,0.2
skew,second,Asia,2,0.529150262212918,5,2,2,0.4,0.4
skew,second,Europe,26,2.31474073955552,9,3,5,0.333333333333333,0.555555555555556
skew,second,N.America,-1,3.71184290855335,3,0,1,0,0.333333333333333
skew,second,Other,-5,1.4142135623731,2,0,0,0,0
skew,second,S.America,-8.66666666666667,0.832666399786453,5,2,0,0.4,0
skew,third,Asia,-11,NA,2,1,0,0.5,0
skew,third,Europe,-10,0,2,0,0,0,0
skew,third,N.America,NA,NA,2,2,0,1,0
skew,third,Other,0,4.94974746830583,2,0,1,0,0.5
